"Time (EpSec)","x (km)","y (km)","z (km)"
0.000,-33254385.714614,-131706201.530588,-57091874.697154
60.000,-33252605.275730,-131706830.898384,-57092384.855341
120.000,-33250798.513002,-131707459.454246,-57092893.812372
180.000,-33248965.558845,-131708086.255230,-57093400.313181
240.000,-33247106.639209,-131708710.364588,-57093903.111455
300.000,-33245222.072810,-131709330.855093,-57094400.974090
360.000,-33243312.269954,-131709946.812358,-57094892.685599
420.000,-33241377.731076,-131710557.338098,-57095377.052459
480.000,-33239419.044964,-131711161.553330,-57095852.907376
540.000,-33237436.886667,-131711758.601504,-57096319.113463
600.000,-33235432.015054,-131712347.651568,-57096774.568302
660.000,-33233405.270109,-131712927.900929,-57097218.207886
720.000,-33231357.569952,-131713498.578310,-57097649.010424
780.000,-33229289.907552,-131714058.946504,-57098065.999996
840.000,-33227203.347159,-131714608.305010,-57098468.250037
900.000,-33225099.020515,-131715145.992525,-57098854.886658
960.000,-33222978.122815,-131715671.389304,-57099225.091763
1020.000,-33220841.908449,-131716183.919367,-57099578.105980
1080.000,-33218691.686481,-131716683.052564,-57099913.231371
1140.000,-33216528.816018,-131717168.306453,-57100229.833933
1200.000,-33214354.701319,-131717639.248034,-57100527.345860
1260.000,-33212170.786814,-131718095.495279,-57100805.267576
1320.000,-33209978.551899,-131718536.718508,-57101063.169520
1380.000,-33207779.505691,-131718962.641558,-57101300.693684
1440.000,-33205575.181615,-131719373.042770,-57101517.554889
1500.000,-33203367.131936,-131719767.755778,-57101713.541809
1560.000,-33201156.922212,-131720146.670102,-57101888.517723
1620.000,-33198946.125694,-131720509.731546,-57102042.421009
1680.000,-33196736.317708,-131720856.942392,-57102175.265357
1740.000,-33194529.070041,-131721188.361382,-57102287.139725
1800.000,-33192325.945307,-131721504.103521,-57102378.208021
1860.000,-33190128.491369,-131721804.339660,-57102448.708516
1920.000,-33187938.235826,-131722089.295887,-57102498.952989
1980.000,-33185756.680529,-131722359.252724,-57102529.325618
2040.000,-33183585.296241,-131722614.544121,-57102540.281601
2100.000,-33181425.517365,-131722855.556271,-57102532.345534
2160.000,-33179278.736827,-131723082.726228,-57102506.109528
2220.000,-33177146.301097,-131723296.540351,-57102462.231099
2280.000,-33175029.505387,-131723497.532567,-57102401.430812
2340.000,-33172929.589017,-131723686.282468,-57102324.489708
2400.000,-33170847.730985,-131723863.413244,-57102232.246508
2460.000,-33168785.045756,-131724029.589459,-57102125.594617
2520.000,-33166742.579294,-131724185.514682,-57102005.478929
2580.000,-33164721.305306,-131724331.928976,-57101872.892448
2640.000,-33162722.121772,-131724469.606260,-57101728.872735
2700.000,-33160745.847744,-131724599.351547,-57101574.498203
2760.000,-33158793.220412,-131724721.998074,-57101410.884259
2820.000,-33156864.892468,-131724838.404328,-57101239.179313
2880.000,-33154961.429780,-131724949.450989,-57101060.560676
2940.000,-33153083.309367,-131725056.037781,-57100876.230349
3000.000,-33151230.917701,-131725159.080269,-57100687.410724
3060.000,-33149404.549325,-131725259.506590,-57100495.340213
3120.000,-33147604.405788,-131725358.254146,-57100301.268825
3180.000,-33145830.594940,-131725456.266257,-57100106.453688
3240.000,-33144083.130545,-131725554.488797,-57099912.154562
3300.000,-33142361.932226,-131725653.866820,-57099719.629330
3360.000,-33140666.825751,-131725755.341193,-57099530.129503
3420.000,-33138997.543660,-131725859.845235,-57099344.895742
3480.000,-33137353.726232,-131725968.301387,-57099165.153425
3540.000,-33135734.922743,-131726081.617930,-57098992.108266
3600.000,-33134140.593097,-131726200.685737,-57098826.942000
3660.000,-33132570.109745,-131726326.375099,-57098670.808161
3720.000,-33131022.759942,-131726459.532619,-57098524.827957
3780.000,-33129497.748269,-131726600.978196,-57098390.086260
3840.000,-33127994.199503,-131726751.502093,-57098267.627728
3900.000,-33126511.161715,-131726911.862129,-57098158.453070
3960.000,-33125047.609697,-131727082.780964,-57098063.515467
4020.000,-33123602.448602,-131727264.943532,-57097983.717162
4080.000,-33122174.517871,-131727458.994592,-57097919.906240
4140.000,-33120762.595366,-131727665.536429,-57097872.873590
4200.000,-33119365.401762,-131727885.126703,-57097843.350077
4260.000,-33117981.605080,-131728118.276468,-57097832.003935
4320.000,-33116609.825472,-131728365.448341,-57097839.438370
4380.000,-33115248.640137,-131728627.054857,-57097866.189408
4440.000,-33113896.588420,-131728903.456992,-57097912.723977
4500.000,-33112552.177011,-131729194.962880,-57097979.438238
4560.000,-33111213.885287,-131729501.826716,-57098066.656167
4620.000,-33109880.170759,-131729824.247838,-57098174.628399
4680.000,-33108549.474544,-131730162.370033,-57098303.531330
4740.000,-33107220.226990,-131730516.281007,-57098453.466486
4800.000,-33105890.853232,-131730886.012084,-57098624.460162
4860.000,-33104559.778839,-131731271.538089,-57098816.463327
4920.000,-33103225.435436,-131731672.777440,-57099029.351799
4980.000,-33101886.266332,-131732089.592434,-57099262.926689
5040.000,-33100540.732037,-131732521.789743,-57099516.915111
5100.000,-33099187.315780,-131732969.121106,-57099790.971163
5160.000,-33097824.528935,-131733431.284209,-57100084.677156
5220.000,-33096450.916348,-131733907.923759,-57100397.545112
5280.000,-33095065.061508,-131734398.632764,-57100729.018511
5340.000,-33093665.591613,-131734902.953977,-57101078.474275
5400.000,-33092251.182497,-131735420.381525,-57101445.225000
5460.000,-33090820.563352,-131735950.362715,-57101828.521414
5520.000,-33089372.521239,-131736492.300009,-57102227.555052
5580.000,-33087905.905457,-131737045.553153,-57102641.461152
5640.000,-33086419.631635,-131737609.441457,-57103069.321744
5700.000,-33084912.685625,-131738183.246227,-57103510.168932
5760.000,-33083384.127095,-131738766.213327,-57103962.988358
5820.000,-33081833.092911,-131739357.555870,-57104426.722822
5880.000,-33080258.800204,-131739956.457026,-57104900.276072
5940.000,-33078660.549203,-131740562.072927,-57105382.516714
6000.000,-33077037.725677,-131741173.535690,-57105872.282263
6060.000,-33075389.803177,-131741789.956501,-57106368.383300
