"Time (EpSec)","Satellite101 - x (km)","Satellite101 - y (km)","Satellite101 - z (km)"
0.000,-5496.480586,-4921.951519,0.000000
60.000,-5332.144388,-5087.347698,352.186335
120.000,-5150.235369,-5236.183034,703.113412
180.000,-4951.252380,-5368.081365,1051.526471
240.000,-4735.751912,-5482.722092,1396.179747
300.000,-4504.346604,-5579.840820,1735.840914
360.000,-4257.703572,-5659.229810,2069.295496
420.000,-3996.542528,-5720.738238,2395.351212
480.000,-3721.633736,-5764.272283,2712.842232
540.000,-3433.795764,-5789.795022,3020.633352
600.000,-3133.893086,-5797.326141,3317.624049
660.000,-2822.833497,-5786.941475,3602.752420
720.000,-2501.565385,-5758.772367,3874.998974
780.000,-2171.074839,-5713.004852,4133.390279
840.000,-1832.382629,-5649.878679,4377.002445
900.000,-1486.541040,-5569.686165,4604.964424
960.000,-1134.630589,-5472.770890,4816.461128
1020.000,-777.756634,-5359.526242,5010.736340
1080.000,-417.045871,-5230.393814,5187.095419
1140.000,-53.642750,-5085.861659,5344.907785
1200.000,311.294197,-4926.462420,5483.609171
1260.000,676.596087,-4752.771317,5602.703645
1320.000,1041.087475,-4565.404039,5701.765377
1380.000,1403.590190,-4365.014504,5780.440169
1440.000,1762.927193,-4152.292532,5838.446714
1500.000,2117.926459,-3927.961416,5875.577607
1560.000,2467.424860,-3692.775413,5891.700086
1620.000,2810.272036,-3447.517159,5886.756502
1680.000,3145.334249,-3192.995012,5860.764532
1740.000,3471.498200,-2930.040345,5813.817112
1800.000,3787.674793,-2659.504784,5746.082105
1860.000,4092.802847,-2382.257411,5657.801700
1920.000,4385.852722,-2099.181936,5549.291548
1980.000,4665.829869,-1811.173852,5420.939633
2040.000,4931.778269,-1519.137569,5273.204883
2100.000,5182.783775,-1223.983560,5106.615531
2160.000,5417.977311,-926.625504,4921.767225
2220.000,5636.537959,-627.977449,4719.320900
2280.000,5837.695874,-328.951002,4500.000412
2340.000,6020.735069,-30.452549,4264.589952
2400.000,6184.996009,266.619480,4013.931242
2460.000,6329.878041,561.377296,3748.920525
2520.000,6454.841642,852.946378,3470.505359
2580.000,6559.410455,1140.468034,3179.681231
2640.000,6643.173145,1423.101886,2877.487997
2700.000,6705.785026,1700.028281,2565.006164
2760.000,6746.969483,1970.450604,2243.353026
2820.000,6766.519172,2233.597509,1913.678670
2880.000,6764.296985,2488.725046,1577.161862
2940.000,6740.236791,2735.118678,1235.005834
3000.000,6694.343942,2972.095194,888.433982
3060.000,6626.695533,3199.004509,538.685491
3120.000,6537.440433,3415.231339,187.010904
3180.000,6426.799070,3620.196752,-165.332350
3240.000,6295.062969,3813.359605,-517.084450
3300.000,6142.594064,3994.217833,-866.987690
3360.000,5969.823754,4162.309625,-1213.790972
3420.000,5777.251731,4317.214452,-1556.254286
3480.000,5565.444574,4458.553968,-1893.153137
